name,TP,FP,FN,precision,recall,mse
mtcnn_all/Kirsten_Dunst_0,0.9626,0.0,0.0374,0.9626,0.9626,6.4918
mtcnn_all/Kirsten_Dunst_2,1.0,0.0,0.0,1.0,1.0,4.936
mtcnn_all/Kirsten_Dunst_3,1.0,0.0,0.0,1.0,1.0,6.4816
mtcnn_all/Kit_Bond_1,0.9875,0.0042,0.0125,0.9854,0.9875,20.6938
mtcnn_all/Kit_Bond_2,0.7467,0.0133,0.2533,0.74,0.7467,28.48
mtcnn_all/Kit_Bond_3,1.0,0.0,0.0,1.0,1.0,18.8502
mtcnn_all/Kit_Bond_5,1.0,0.292,0.0,0.854,1.0,682.1062
mtcnn_all/Kofi_Annan_2,0.9542,0.0,0.0458,0.9542,0.9542,7.7786
mtcnn_all/Kofi_Annan_3,0.9883,0.0,0.0117,0.9883,0.9883,11.364
mtcnn_all/Kostya_Tszyu_1,0.8252,0.0,0.1748,0.8252,0.8252,4.8083
mtcnn_all/Kostya_Tszyu_2,0.9683,0.0,0.0317,0.9683,0.9683,6.3829
mtcnn_all/Krishna_Bhadur_Mahara_3,0.9153,0.0,0.0847,0.9153,0.9153,8.2055
mtcnn_all/Krishna_Bhadur_Mahara_5,1.0,0.0,0.0,1.0,1.0,7.6521
mtcnn_all/Kristen_Breitweiser_0,1.0,0.0,0.0,1.0,1.0,3.9583
mtcnn_all/Kristen_Breitweiser_1,1.0,0.0,0.0,1.0,1.0,6.7104
mtcnn_all/Kristen_Breitweiser_2,0.9958,0.0125,0.0042,0.9917,0.9958,116.3464
mtcnn_all/Kristen_Breitweiser_5,1.0,0.0,0.0,1.0,1.0,8.9833
mtcnn_all/Kristin_Chenoweth_1,0.7867,0.2,0.2133,0.7867,0.7867,3.1483
mtcnn_all/Kristin_Chenoweth_4,1.0,0.0,0.0,1.0,1.0,3.0809
mtcnn_all/Kristin_Chenoweth_5,1.0,0.0,0.0,1.0,1.0,5.0867
mtcnn_all/Kristin_Scott_1,1.0,0.0,0.0,1.0,1.0,6.8397
mtcnn_all/Kristin_Scott_4,1.0,0.0,0.0,1.0,1.0,7.3954
mtcnn_all/Kristin_Scott_5,1.0,0.0,0.0,1.0,1.0,8.3237
mtcnn_all/Kristy_Curry_0,1.0,0.0,0.0,1.0,1.0,5.8002
mtcnn_all/Kristy_Curry_2,1.0,0.1542,0.0,0.9229,1.0,690.7036
mtcnn_all/Kristy_Curry_3,1.0,0.0,0.0,1.0,1.0,12.0
mtcnn_all/Kurt_Warner_0,1.0,0.0,0.0,1.0,1.0,22.6599
mtcnn_all/Kurt_Warner_1,1.0,0.0,0.0,1.0,1.0,18.598
mtcnn_all/Kurt_Warner_4,1.0,0.0,0.0,1.0,1.0,6.2119
mtcnn_all/Kweisi_Mfume_0,0.8583,0.0875,0.1417,0.8187,0.8583,143.2495
