name,TP,FP,FN,precision,recall
viola_all/Kristen_Breitweiser_2,1.0,0.05,0.0,0.9764,1.0
viola_all/Kristen_Breitweiser_5,1.0,0.0,0.0,1.0,1.0
viola_all/Kristin_Chenoweth_1,1.0,0.04,0.0,0.98,1.0
viola_all/Kristin_Chenoweth_4,1.0,0.0,0.0,1.0,1.0
viola_all/Kristin_Chenoweth_5,1.0,0.0267,0.0,0.9867,1.0
viola_all/Kristin_Scott_1,1.0,0.0,0.0,1.0,1.0
viola_all/Kristin_Scott_4,1.0,0.0,0.0,1.0,1.0
viola_all/Kristin_Scott_5,1.0,0.0,0.0,1.0,1.0
viola_all/Kristy_Curry_0,1.0,0.0093,0.0,0.9953,1.0
viola_all/Kristy_Curry_2,1.0,0.0333,0.0,0.9833,1.0
viola_all/Kristy_Curry_3,0.9864,0.0068,0.0136,0.983,0.9864
viola_all/Kurt_Warner_0,1.0,0.0,0.0,1.0,1.0
viola_all/Kurt_Warner_1,1.0,0.0392,0.0,0.9804,1.0
viola_all/Kurt_Warner_4,1.0,0.0,0.0,1.0,1.0
viola_all/Kweisi_Mfume_0,1.0,0.1167,0.0,0.9417,1.0
viola_all/Kweisi_Mfume_1,0.9958,0.0333,0.0042,0.9792,0.9958
viola_all/Kweisi_Mfume_4,1.0,0.0,0.0,1.0,1.0
viola_all/Kweisi_Mfume_5,1.0,0.1589,0.0,0.9205,1.0
viola_all/Kyle_Shewfelt_0,0.8772,0.5263,0.1228,0.6491,0.8772
viola_all/Kyle_Shewfelt_1,1.0,0.0588,0.0,0.9706,1.0
viola_all/Kyle_Shewfelt_2,1.0,0.0,0.0,1.0,1.0
viola_all/Kyle_Shewfelt_4,1.0,0.0,0.0,1.0,1.0
viola_all/Larry_Brown_1,1.0,0.0,0.0,1.0,1.0
viola_all/Larry_Brown_2,1.0,0.25,0.0,0.875,1.0
viola_all/Larry_Flynt_0,1.0,0.1905,0.0,0.9048,1.0
viola_all/Larry_Flynt_1,1.0,0.0,0.0,1.0,1.0
viola_all/Larry_Flynt_2,1.0,0.0,0.0,1.0,1.0
viola_all/Larry_Nichols_0,1.0,0.0,0.0,1.0,1.0
viola_all/Larry_Nichols_1,1.0,0.0366,0.0,0.9817,1.0
viola_all/Larry_Wilmore_0,0.9636,0.0182,0.0364,0.9545,0.9636
viola_all/Larry_Wilmore_2,1.0,0.0,0.0,1.0,1.0
viola_all/Laura_Bozzo_0,1.0,0.0282,0.0,0.9859,1.0
viola_all/Laura_Bozzo_1,1.0,0.0,0.0,1.0,1.0
viola_all/Laura_Bozzo_4,1.0,0.0,0.0,1.0,1.0
viola_all/Laura_Bush_1,1.0,0.0,0.0,1.0,1.0
viola_all/Laura_Bush_2,1.0,0.0,0.0,1.0,1.0
viola_all/Laura_Bush_4,1.0,0.3743,0.0,0.8128,1.0
viola_all/Laura_Bush_5,1.0,0.0092,0.0,0.9954,1.0
viola_all/Laura_Elena_Harring_0,1.0,0.0,0.0,1.0,1.0
viola_all/Laura_Elena_Harring_2,1.0,0.0074,0.0,0.9963,1.0
viola_all/Laura_Elena_Harring_4,1.0,0.0331,0.0,0.9834,1.0
viola_all/Laura_Elena_Harring_5,1.0,0.0,0.0,1.0,1.0
viola_all/Laura_Flessel_0,1.0,0.0,0.0,1.0,1.0
viola_all/Laura_Flessel_2,1.0,0.0,0.0,1.0,1.0
viola_all/Laura_Linney_0,1.0,0.0,0.0,1.0,1.0
viola_all/Laura_Linney_4,1.0,0.3273,0.0,0.8364,1.0
viola_all/Laura_Pausini_0,1.0,0.16,0.0,0.92,1.0
viola_all/Laura_Pausini_2,1.0,0.0053,0.0,0.9974,1.0
viola_all/Laurence_Fishburne_2,1.0,0.0,0.0,1.0,1.0
viola_all/Laurence_Fishburne_4,1.0,0.0,0.0,1.0,1.0
viola_all/Laurence_Fishburne_5,1.0,0.0,0.0,1.0,1.0
viola_all/Laurence_Tribe_0,0.9375,0.0,0.0625,0.9375,0.9375
viola_all/Laurence_Tribe_5,1.0,0.0,0.0,1.0,1.0
viola_all/Lauren_Hutton_0,1.0,0.0787,0.0,0.9606,1.0
viola_all/Lauren_Hutton_1,1.0,0.1324,0.0,0.9387,1.0
viola_all/Lauren_Hutton_2,1.0,0.4,0.0,0.8,1.0
viola_all/Lauren_Hutton_3,1.0,0.0667,0.0,0.9667,1.0
viola_all/Lauren_Hutton_4,1.0,0.1176,0.0,0.9412,1.0
viola_all/Lauren_Hutton_5,1.0,0.0816,0.0,0.9592,1.0
viola_all/Laurie_Laychak_0,1.0,0.0,0.0,1.0,1.0
viola_all/Laurie_Laychak_4,1.0,0.0042,0.0,0.9979,1.0
viola_all/Lee_Baca_0,1.0,0.0,0.0,1.0,1.0
viola_all/Lee_Baca_1,1.0,0.0,0.0,1.0,1.0
viola_all/Lee_Baca_4,1.0,0.2128,0.0,0.9007,1.0
viola_all/Lee_Byung-woong_0,0.9796,0.0204,0.0204,0.9694,0.9796
viola_all/Lee_Byung-woong_5,1.0,0.0,0.0,1.0,1.0
viola_all/Leland_Chapman_1,1.0,0.0,0.0,1.0,1.0
viola_all/Leland_Chapman_4,1.0,0.0513,0.0,0.9744,1.0
viola_all/Lena_Olin_0,1.0,0.271,0.0,0.871,1.0
viola_all/Lena_Olin_1,1.0,0.0,0.0,1.0,1.0
viola_all/Lene_Espersen_1,1.0,0.0,0.0,1.0,1.0
viola_all/Lene_Espersen_2,1.0,0.0042,0.0,0.9979,1.0
viola_all/Lene_Espersen_4,1.0,0.0182,0.0,0.9909,1.0
viola_all/Leonid_Kuchma_2,0.918,0.0492,0.082,0.9016,0.918
viola_all/Leonid_Kuchma_4,1.0,0.0057,0.0,0.9971,1.0
viola_all/Lesia_Burlak_0,0.8958,0.0,0.1042,0.8958,0.8958
viola_all/Lesia_Burlak_2,1.0,0.0,0.0,1.0,1.0
viola_all/Lesia_Burlak_3,1.0,0.0,0.0,1.0,1.0
viola_all/Lester_Holt_0,1.0,0.0,0.0,1.0,1.0
viola_all/Lester_Holt_3,1.0,0.5224,0.0,0.7388,1.0
viola_all/Lester_Holt_4,1.0,0.7765,0.0,0.6117,1.0
viola_all/Leszek_Miller_0,1.0,0.0,0.0,1.0,1.0
viola_all/Leszek_Miller_1,1.0,0.0364,0.0,0.9818,1.0
viola_all/Leszek_Miller_3,1.0,0.0,0.0,1.0,1.0
viola_all/Leticia_Dolera_2,1.0,0.0094,0.0,0.9953,1.0
viola_all/Leticia_Dolera_4,1.0,0.0,0.0,1.0,1.0
viola_all/Leticia_Van_de_Putte_0,1.0,0.0,0.0,1.0,1.0
viola_all/Leticia_Van_de_Putte_1,1.0,0.1667,0.0,0.9306,1.0
viola_all/Leticia_Van_de_Putte_4,1.0,0.0,0.0,1.0,1.0
viola_all/Leuris_Pupo_0,1.0,0.0465,0.0,0.9767,1.0
viola_all/Leuris_Pupo_2,1.0,0.0,0.0,1.0,1.0
viola_all/Leuris_Pupo_3,1.0,0.0,0.0,1.0,1.0
viola_all/Leuris_Pupo_4,1.0,0.0851,0.0,0.9574,1.0
viola_all/Lewis_Booth_0,1.0,0.0167,0.0,0.9917,1.0
viola_all/Lewis_Booth_2,1.0,0.0465,0.0,0.9767,1.0
viola_all/Liane_Janda_1,1.0,0.0,0.0,1.0,1.0
viola_all/Liane_Janda_4,1.0,0.0,0.0,1.0,1.0
viola_all/Lincoln_Chafee_2,1.0,0.0,0.0,1.0,1.0
viola_all/Lincoln_Chafee_3,1.0,0.0,0.0,1.0,1.0
viola_all/Lincoln_Chafee_5,1.0,0.0083,0.0,0.9958,1.0
viola_all/Linda_Dano_0,1.0,0.0,0.0,1.0,1.0
viola_all/Linda_Dano_2,1.0,0.0,0.0,1.0,1.0
viola_all/Linda_Dano_3,1.0,0.0213,0.0,0.9894,1.0
viola_all/Linda_Dano_5,1.0,0.0,0.0,1.0,1.0
viola_all/Linda_Franklin_0,1.0,0.0042,0.0,0.9979,1.0
viola_all/Linda_Franklin_1,1.0,0.0,0.0,1.0,1.0
viola_all/Linda_Franklin_2,1.0,0.0042,0.0,0.9979,1.0
viola_all/Linda_Franklin_4,1.0,0.0375,0.0,0.9812,1.0
viola_all/Linda_Lingle_2,1.0,0.0042,0.0,0.9979,1.0
viola_all/Linda_Lingle_4,1.0,0.0,0.0,1.0,1.0
viola_all/Linda_Mason_4,1.0,0.0,0.0,1.0,1.0
viola_all/Linda_Mason_5,1.0,0.2708,0.0,0.8701,1.0
viola_all/Linda_Sanchez_0,1.0,0.0042,0.0,0.9979,1.0
viola_all/Linda_Sanchez_1,1.0,0.0,0.0,1.0,1.0
viola_all/Linda_Sanchez_2,1.0,0.0,0.0,1.0,1.0
viola_all/Linda_Sanchez_4,1.0,0.15,0.0,0.925,1.0
viola_all/Lindsey_Graham_0,1.0,0.1542,0.0,0.9229,1.0
viola_all/Lindsey_Graham_1,1.0,0.0,0.0,1.0,1.0
viola_all/Lindsey_Graham_2,1.0,0.0,0.0,1.0,1.0
viola_all/Lindsey_Graham_3,1.0,0.0042,0.0,0.9979,1.0
viola_all/Lino_Oviedo_0,1.0,0.0,0.0,1.0,1.0
viola_all/Lino_Oviedo_3,1.0,0.0083,0.0,0.9958,1.0
viola_all/Lino_Oviedo_5,1.0,0.0,0.0,1.0,1.0
viola_all/Lin_Yung_Hsi_3,1.0,0.0,0.0,1.0,1.0
viola_all/Lin_Yung_Hsi_4,1.0,0.0392,0.0,0.9804,1.0
viola_all/Lisa_Leslie_3,1.0,0.0,0.0,1.0,1.0
viola_all/Lisa_Leslie_5,1.0,0.0,0.0,1.0,1.0
viola_all/Lisa_Ling_0,1.0,0.053,0.0,0.9735,1.0
viola_all/Lisa_Ling_1,1.0,0.12,0.0,0.94,1.0
viola_all/Lisa_Ling_2,1.0,0.0208,0.0,0.9896,1.0
viola_all/Lisa_Marie_Presley_1,1.0,0.0,0.0,1.0,1.0
viola_all/Lisa_Marie_Presley_2,1.0,0.0,0.0,1.0,1.0
viola_all/Liu_Mingkang_0,1.0,0.0,0.0,1.0,1.0
viola_all/Liu_Mingkang_1,0.9917,0.0083,0.0083,0.9875,0.9917
viola_all/Liu_Ye_0,1.0,0.0,0.0,1.0,1.0
viola_all/Liu_Ye_1,1.0,0.0426,0.0,0.9787,1.0
viola_all/Liu_Ye_2,1.0,0.0,0.0,1.0,1.0
viola_all/Liu_Ye_5,1.0,0.0,0.0,1.0,1.0
viola_all/Liv_Tyler_3,1.0,0.0,0.0,1.0,1.0
viola_all/Liv_Tyler_5,1.0,0.0,0.0,1.0,1.0
